Vehicle_ID,Speed_KMH,Speed_Limit_KMH,Excess_KMH,Frame,Timestamp,Status
1,168.75,60,108.75,9,2026-04-03 18:36:25,EXCESSIVE SPEED
127,67.5,60,7.5,461,2026-04-03 18:36:43,EXCESSIVE SPEED
155,75.0,60,15.0,527,2026-04-03 18:36:45,EXCESSIVE SPEED
381,67.5,60,7.5,1276,2026-04-03 18:37:15,EXCESSIVE SPEED
605,75.0,60,15.0,2167,2026-04-03 18:37:51,EXCESSIVE SPEED
606,64.29,60,4.29,2175,2026-04-03 18:37:51,EXCESSIVE SPEED
749,270.0,60,210.0,2823,2026-04-03 18:38:17,EXCESSIVE SPEED
904,71.05,60,11.05,3370,2026-04-03 18:38:39,EXCESSIVE SPEED
1020,84.38,60,24.38,3923,2026-04-03 18:39:01,EXCESSIVE SPEED
1169,84.38,60,24.38,4582,2026-04-03 18:39:28,EXCESSIVE SPEED
1288,64.29,60,4.29,5046,2026-04-03 18:39:46,EXCESSIVE SPEED
1799,135.0,60,75.0,7195,2026-04-03 18:41:12,EXCESSIVE SPEED
2126,103.85,60,43.85,8473,2026-04-03 18:42:03,EXCESSIVE SPEED
2312,75.0,60,15.0,9205,2026-04-03 18:42:33,EXCESSIVE SPEED
2780,61.36,60,1.36,11124,2026-04-03 18:43:49,EXCESSIVE SPEED
2827,79.41,60,19.41,11302,2026-04-03 18:43:56,EXCESSIVE SPEED
2881,112.5,60,52.5,11466,2026-04-03 18:44:03,EXCESSIVE SPEED
3349,61.36,60,1.36,13349,2026-04-03 18:45:18,EXCESSIVE SPEED
3819,90.0,60,30.0,15026,2026-04-03 18:46:25,EXCESSIVE SPEED
4113,122.73,60,62.73,16088,2026-04-03 18:47:08,EXCESSIVE SPEED
5034,192.86,60,132.86,20041,2026-04-03 18:49:46,EXCESSIVE SPEED
5281,225.0,60,165.0,21177,2026-04-03 18:50:31,EXCESSIVE SPEED
5973,103.85,60,43.85,24018,2026-04-03 18:52:25,EXCESSIVE SPEED
5989,112.5,60,52.5,24043,2026-04-03 18:52:26,EXCESSIVE SPEED
6942,168.75,60,108.75,28135,2026-04-03 18:55:10,EXCESSIVE SPEED
8092,84.38,60,24.38,33306,2026-04-03 18:58:37,EXCESSIVE SPEED
8098,122.73,60,62.73,33307,2026-04-03 18:58:37,EXCESSIVE SPEED
8529,79.41,60,19.41,35179,2026-04-03 18:59:52,EXCESSIVE SPEED
8680,150.0,60,90.0,35724,2026-04-03 19:00:13,EXCESSIVE SPEED
9117,103.85,60,43.85,37333,2026-04-03 19:01:18,EXCESSIVE SPEED
9580,64.29,60,4.29,39220,2026-04-03 19:02:33,EXCESSIVE SPEED
9774,225.0,60,165.0,40147,2026-04-03 19:03:10,EXCESSIVE SPEED
10914,122.73,60,62.73,44536,2026-04-03 19:06:06,EXCESSIVE SPEED
10925,90.0,60,30.0,44559,2026-04-03 19:06:07,EXCESSIVE SPEED
11030,84.38,60,24.38,44879,2026-04-03 19:06:20,EXCESSIVE SPEED
11616,135.0,60,75.0,47262,2026-04-03 19:07:55,EXCESSIVE SPEED
12167,168.75,60,108.75,49800,2026-04-03 19:09:36,EXCESSIVE SPEED
